Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsbckitipri01,Powered On,Normal,84.13  GB,84.13  GB,2277,4138,19,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKITIPRI01.adcfs.capita.co.uk,
cfsbckitirdb01,Powered On,Normal,48.22  GB,29.01  GB,46,8271,1,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitirdb01.adcfs.capita.co.uk,
cfsbckitirds01,Powered On,Normal,48.22  GB,33.13  GB,138,8267,3,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitirds01.adcfs.capita.co.uk,
cfsbckitirds02,Powered On,Normal,48.16  GB,30.29  GB,92,8256,1,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitirds02.adcfs.capita.co.uk,
cfsbckitirds03,Powered On,Normal,48.16  GB,39.06  GB,92,8248,3,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitirds03.adcfs.capita.co.uk,
cfsbckitirds04,Powered On,Normal,48.16  GB,30.37  GB,92,8251,1,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckitirds04.adcfs.capita.co.uk,
cfsbckitisql01,Powered On,Normal,349.13  GB,346.77  GB,529,4139,13,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKITISQL01.adcfs.capita.co.uk,
CFSBCKITIVDI01,Powered On,Normal,34.11  GB,34.11  GB,115,2079,21,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows 8 (64-bit),CFSBCKITIVDI01.adcfs.capita.co.uk,CR F1054669
cfsbckitivsr01,Powered On,Normal,14.65  GB,6.78  GB,207,2633,21,cfsbckitiesx04.adcfs.capita.co.uk,SUSE Linux Enterprise 11 (64-bit),cfsbckitivsr01,vSphere Replication Appliance
CFSBCKITIWEB01,Powered On,Normal,58.11  GB,34.57  GB,115,4111,1,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKITIWEB01.adcfs.capita.co.uk,"IT Infrastructure - ITI Web Server - Nick Harman
EMS (Environment Management System)
"
CFSBCKKIDWEB01,Powered On,Normal,172.12  GB,172.12  GB,253,2080,31,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKKIDWEB01,
CFSBCKKIDWEB02,Powered On,Normal,32.12  GB,32.12  GB,46,2080,13,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKKIDWEB02,
cfsbcklipapp01,Powered On,Normal,46.11  GB,46.11  GB,46,1050,8,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbcklipapp01.adcfs.capita.co.uk,
CFSBCKLNDAPP02,Powered On,Normal,994.16  GB,942.21  GB,138,4148,5,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbcklndapp02.adcfs.capita.co.uk,
cfsbcklndnfs02,Powered On,Normal,384.22  GB,287.56  GB,230,4162,10,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKLNDNFS02.adcfs.capita.co.uk,
CFSBCKLNDSQL01,Powered On,Normal,342.22  GB,342.22  GB,897,12387,51,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKLNDSQL01.adcfs.capita.co.uk,
cfsbcklpdctx01,Powered On,Normal,103.61  GB,103.61  GB,805,3623,5,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbcklpdctx01.adcfs.capita.co.uk,
cfsbcklpdctx02,Powered On,Normal,83.58  GB,83.58  GB,138,3551,6,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),cfsbcklpdctx02.adcfs.capita.co.uk,
cfsbcklphapp01,Powered On,Normal,63.66  GB,63.66  GB,345,3590,6,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbcklphapp01.adcfs.capita.co.uk,
CFSBCKLPHWEB01,Powered On,Normal,84.22  GB,84.22  GB,345,4161,5,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKLPHWEB01.adcfs.capita.co.uk,
CFSBCKLPMAPP02,Powered On,Normal,52.15  GB,52.15  GB,138,2077,8,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKLPMAPP02.adcfs.capita.co.uk,
CFSBCKLPMWEB02,Powered On,Normal,62.11  GB,62.11  GB,69,2025,1,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKLPMWEB02.adcfs.capita.co.uk,
