Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsnthsipsql01,Powered On,Normal,248.61  GB,248.61  GB,345,8251,7,cfsnthsglesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHSIPSQL01.signal.ad.capita.co.uk,
DEVNTHCPFSQL01,Powered On,Normal,74.12  GB,74.12  GB,75,3963,6,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DEVNTHCPFSQL01.adcfs.capita.co.uk,
DEVNTHCPFWEB01,Powered On,Normal,104.12  GB,104.12  GB,709,4124,20,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DEVNTHCPFWEB01,
DEVNTHGSPAPP01,Powered On,Normal,96.11  GB,96.11  GB,303,6192,4,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),DEVNTHGSPAPP01.GSPDEV.CAPITA.CO.UK,
DRVICSACCSQL01,Powered On,Normal,280.14  GB,229.57  GB,735,4916,51,cfsicsitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DRVICSACCSQL01.adcfs.capita.co.uk,
DRVICSACTAPP01,Powered On,Normal,42.22  GB,42.02  GB,184,2104,28,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKACTAPP01.adcfs.capita.co.uk,
drvicscamapp01,Powered On,Normal,42.22  GB,25.85  GB,115,2104,9,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DRVICSCAMAPP01.adcfs.capita.co.uk,
drvicscrwweb02,Powered On,Normal,27.11  GB,19.24  GB,92,2074,7,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVICSCRWWEB02.adcfs.capita.co.uk,
drvicsdimapp02,Powered On,Normal,96.22  GB,67.32  GB,115,6220,4,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),drvicsdimapp02.adcfs.capita.co.uk,
drvicsdimora02,Powered On,Normal,546.16  GB,433.83  GB,260,5997,14,cfsicsoraesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DRVICSDIMORA02.adcfs.capita.co.uk,
DRVICSEXTFTP02,Powered On,Normal,122.22  GB,99.43  GB,184,2105,11,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKEXTFTP02,
DRVICSFP01,Powered On,Normal,267.11  GB,251.74  GB,2346,2057,15,cfsicsitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 (64-bit),DRVICSFP01.adcfs.capita.co.uk,
DRVICSHBLAPP02,Powered On,Normal,294.22  GB,83.97  GB,69,4160,6,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKHBLAPP02.adcfs.capita.co.uk,
DRVICSIBXFTP01,Powered On,Normal,92.36  GB,63.31  GB,138,2103,4,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cf-ftp.adcfs.capita.co.uk,
DRVICSITDAPP02,Powered On,Normal,44.12  GB,27.16  GB,69,4137,8,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DRVICSITDAPP02.adcfs.capita.co.uk,
drvicslpora01,Powered On,Normal,246.16  GB,108.38  GB,200,4890,12,cfsicsoraesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),drvicslpora01.adcfs.capita.co.uk,
DRVICSSFTAPP01,Powered On,Normal,75.41  GB,34.95  GB,1104,4127,13,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKSFTAPP01.adcfs.capita.co.uk,
DRVICSVSVAPP01,Powered On,Normal,44.14  GB,24.97  GB,92,4138,3,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),DRVICSVSVAPP01.adcfs.capita.co.uk,
Drvnthcowsql01,Powered On,Normal,96.11  GB,96.11  GB,126,6184,3,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),drvnthcowsql01.adcfs.capita.co.uk,
DRVNTHGSPWEB01,Powered On,Normal,47.22  GB,47.22  GB,101,4166,6,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB01.GSPLVE.CAPITA.CO.UK,
DRVNTHGSPWEB02,Powered On,Normal,47.22  GB,47.22  GB,75,4163,4,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB02.GSPLVE.CAPITA.CO.UK,
DRVNTHGSPWEB03,Powered On,Normal,47.22  GB,47.22  GB,50,4168,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB03.GSPLVE.CAPITA.CO.UK,Lincoln DR Web Server
DRVNTHGSPWEB04,Powered On,Normal,44.22  GB,44.22  GB,50,4166,4,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB04.GSPLVE.CAPITA.CO.UK,
DRVNTHGSPWEB05,Powered On,Normal,44.22  GB,44.22  GB,75,4166,4,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB05.GSPLVE.CAPITA.CO.UK,
DRVNTHGSPWEB06,Powered On,Normal,44.22  GB,44.22  GB,75,4166,6,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),DRVNTHGSPWEB06.GSPLVE.CAPITA.CO.UK,
DRVNTHKIDWEB01,Powered On,Normal,172.12  GB,172.12  GB,101,2078,15,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKKIDWEB01,
STARFISH2,Powered On,Normal,277.06  GB,277.06  GB,25,3619,4,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),starfish2.adcfs.capita.co.uk,
TMPICSITIAPP01,Powered On,Normal,43.11  GB,43.11  GB,161,2498,3,cfsicsitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (64-bit),TMPICSITIAPP01.adcfs.capita.co.uk,
TSTNTHCPFWEB01,Powered On,Normal,44.12  GB,44.12  GB,25,4139,4,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),TSTNTHCPFWEB01,
TSTNTHGSPSOP01,Powered Off,Normal,42.21  GB,19.18  GB,0,0,0,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 (32-bit),,"Powered off as per CR F1105884, do not power back on."
UATNTHCPFWEB01,Powered On,Normal,44.12  GB,44.12  GB,25,4139,3,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),UATNTHCPFWEB01,
